POBLACIONES ECUATORIANAS Y VALOR DEL FACTOR Z
Tabla 19 - NEC (Norma Ecuatoriana de la Construcción)
================================================================================
POBLACIÓN                        PARROQUIA                        CANTÓN                    PROVINCIA            Z
SAN VICENTE                      RIOBAMBA                         RIOBAMBA                  CHIMBORAZO           0.40
CHAMBO                           CHAMBO                           CHAMBO                    CHIMBORAZO           0.40
PUNIN                            PUNIN                            RIOBAMBA                  CHIMBORAZO           0.40
LICTO                            LICTO                            RIOBAMBA                  CHIMBORAZO           0.40
PUNGALA                          PUNGALA                          RIOBAMBA                  CHIMBORAZO           0.40
YARUQUIES                        RIOBAMBA                         RIOBAMBA                  CHIMBORAZO           0.40
SAN LUIS                         SAN LUIS                         RIOBAMBA                  CHIMBORAZO           0.40
JUAN DE VELASCO                  JUAN DE VELASCO (PANGOR)         COLTA                     CHIMBORAZO           0.40
CEBADAS                          CEBADAS                          GUAMOTE                   CHIMBORAZO           0.40
CAJABAMBA                        VILLA LA UNION (CAJABAMBA)       COLTA                     CHIMBORAZO           0.40
CUBIJIES                         GUANO                            GUANO                     CHIMBORAZO           0.40
SAN JUAN                         SAN JUAN                         RIOBAMBA                  CHIMBORAZO           0.40
COLUMBE                          COLUMBE                          COLTA                     CHIMBORAZO           0.40
MATUS                            EL ALTAR                         PENIPE                    CHIMBORAZO           0.40
VILLA LA UNION                   VILLA LA UNION (CAJABAMBA)       COLTA                     CHIMBORAZO           0.40
GUAMOTE                          GUAMOTE                          GUAMOTE                   CHIMBORAZO           0.40
LLACTAPAMBA DE ALAO              PUNGALA                          RIOBAMBA                  CHIMBORAZO           0.35
CHUNCHI                          CHUNCHI                          CHUNCHI                   CHIMBORAZO           0.35
ALAUSI                           SIBAMBE                          ALAUSI                    CHIMBORAZO           0.35
ANGAMARCA                        ANGAMARCA                        PUJILI                    COTOPAXI             0.30
LA MANA                          LA MANA                          LA MANA                   COTOPAXI             0.30
ZUMBAHUA                         ZUMBAHUA                         PUJILI                    COTOPAXI             0.30
EL CORAZON                       EL CORAZON                       PANGUA                    COTOPAXI             0.30
MORASPUNGO                       MORASPUNGO                       PANGUA                    COTOPAXI             0.30
SIGCHOS                          SIGCHOS                          SIGCHOS                   COTOPAXI             0.30
CUSUBAMBA                        CUSUBAMBA                        SALCEDO                   COTOPAXI             0.40
ALAQUES                          ALAQUES (ALAQUEZ)                LATACUNGA                 COTOPAXI             0.40
MULALILLO                        MULALILLO                        SALCEDO                   COTOPAXI             0.40
PANSALEO                         PANSALEO                         SALCEDO                   COTOPAXI             0.40
ANTONIO JOSE HOLGUIN             ANTONIO JOSE HOLGUIN             SALCEDO                   COTOPAXI             0.40
GUAITACAMA                       GUAITACAMA (GUAYTACAMA)          LATACUNGA                 COTOPAXI             0.40
MULLIQUINDIL                     MULLIQUINDIL (SANTA ANA)         SALCEDO                   COTOPAXI             0.40
SAQUISILI                        CHANTILIN                        SAQUISILI                 COTOPAXI             0.40
MARISCAL SUCRE                   POALO                            LATACUNGA                 COTOPAXI             0.40
LATACUNGA                        LATACUNGA                        LATACUNGA                 COTOPAXI             0.40
LA VICTORIA                      LA VICTORIA                      PUJILI                    COTOPAXI             0.40
SAN JUAN DE PASTOCALLE           SAN JUAN DE PASTOCALLE           LATACUNGA                 COTOPAXI             0.40
TANICUCHA                        TANICUCHI                        LATACUNGA                 COTOPAXI             0.40
TOACASO                          TOACASO                          LATACUNGA                 COTOPAXI             0.40
MULALO                           MULALO                           LATACUNGA                 COTOPAXI             0.40
SAN AGUSTIN DE CALLO             MULALO                           LATACUNGA                 COTOPAXI             0.40
SAN MIGUEL DE SALCEDO            SAN MIGUEL                       SALCEDO                   COTOPAXI             0.40
PUJILI                           PUJILI                           PUJILI                    COTOPAXI             0.40
PORTOVELO                        PORTOVELO                        PORTOVELO                 EL ORO               0.30
CHILLA                           CHILLA                           CHILLA                    EL ORO               0.30
PACCHA                           PACCHA                           ATAHUALPA                 EL ORO               0.30
PIÑAS                            PIÑAS                            PIÑAS                     EL ORO               0.30
ZARUMA                           MALVAS                           ZARUMA                    EL ORO               0.30
HUAQUILLAS                       HUAQUILLAS                       HUAQUILLAS                EL ORO               0.40
SANTA ROSA                       SANTA ROSA                       SANTA ROSA                EL ORO               0.40
ARENILLAS                        ARENILLAS                        ARENILLAS                 EL ORO               0.40
BELLAVISTA                       BELLAVISTA                       SANTA ROSA                EL ORO               0.40
MACHALA                          MACHALA                          MACHALA                   EL ORO               0.40
BALSAS                           BALSAS                           BALSAS                    EL ORO               0.35
MARCABELI                        MARCABELI                        MARCABELI                 EL ORO               0.35
PASAJE                           PASAJE                           PASAJE                    EL ORO               0.35
BELLA MARIA                      BELLAMARIA                       SANTA ROSA                EL ORO               0.40
EL GUABO                         EL GUABO                         EL GUABO                  EL ORO               0.40
LA UNION                         VICHE                            QUININDE                  ESMERALDAS           0.50
VICHE                            VICHE                            QUININDE                  ESMERALDAS           0.50
MONTERREY                        ROSA ZARATE (QUININDE)           QUININDE                  ESMERALDAS           0.50
LA VILLEGAS                      ROSA ZARATE (QUININDE)           QUININDE                  ESMERALDAS           0.50
ATACAMES                         ATACAMES                         ATACAMES                  ESMERALDAS           0.50
ROSA ZARATE                      ROSA ZARATE (QUININDE)           QUININDE                  ESMERALDAS           0.50
BOLIVAR                          BOLIVAR                          MUISNE                    ESMERALDAS           0.50
LA INDEPENDENCIA                 ROSA ZARATE (QUININDE)           QUININDE                  ESMERALDAS           0.50
LA TE                            MALIMPIA                         QUININDE                  ESMERALDAS           0.50
ZAPALLO                          MALIMPIA                         QUININDE                  ESMERALDAS           0.50
ESMERALDAS                       ESMERALDAS                       ESMERALDAS                ESMERALDAS           0.50
SAN LORENZO                      SAN LORENZO                      SAN LORENZO               ESMERALDAS           0.50
PUERTO GAVIOTA                   TONSUPA                          ATACAMES                  ESMERALDAS           0.50
LA CONCORDIA                     LA CONCORDIA                     LA CONCORDIA              ESMERALDAS           0.50
PLAN PILOTO                      LA CONCORDIA                     LA CONCORDIA              ESMERALDAS           0.40
VALDEZ                           VALDEZ (LIMONES)                 ELOY ALFARO               ESMERALDAS           0.50
MUISNE                           MUISNE                           MUISNE                    ESMERALDAS           0.50
JUAN GOMEZ RENDON                JUAN GOMEZ RENDON (PROGRESO)     GUAYAQUIL                 GUAYAS               0.50
GENERAL VILLAMIL                 GENERAL VILLAMIL (PLAYAS)        PLAYAS                    GUAYAS               0.50
LA ESTACADA                      PEDRO CARBO                      PEDRO CARBO               GUAYAS               0.50
SAN LORENZO                      JUAN GOMEZ RENDON (PROGRESO)     GUAYAQUIL                 GUAYAS               0.50
SAN CAMILO                       GUAYAS (PUEBLO NUEVO)            EMPALME                   GUAYAS               0.35
SAN JACINTO DE YAGUACHI          SAN JACINTO DE YAGUACHI          SAN JACINTO DE YAGUACHI   GUAYAS               0.35
MARISCAL SUCRE                   MARISCAL SUCRE (HUAQUES)         MILAGRO                   GUAYAS               0.35
LORENZO DE GARAICOA              CRNEL. LORENZO DE GARAICOA       SIMON BOLIVAR             GUAYAS               0.35
SANTO DOMINGO                    SIMON BOLIVAR                    SIMON BOLIVAR             GUAYAS               0.35
SAMBORONDON                      SAMBORONDON                      SAMBORONDON               GUAYAS               0.35
GENERAL VERNAZA                  GRAL. VERNAZA (DOS ESTEROS)      SALITRE                   GUAYAS               0.35
MATA DE CACAO                    CRNEL. LORENZO DE GARAICOA       SIMON BOLIVAR             GUAYAS               0.35
VELASCO IBARRA                   VELASCO IBARRA (CAB. EL EMPALME) EMPALME                   GUAYAS               0.35
MILAGRO                          MILAGRO                          MILAGRO                   GUAYAS               0.35
PEDRO J. MONTERO                 GRAL. PEDRO J. MONTERO (BOLICHE) SAN JACINTO DE YAGUACHI   GUAYAS               0.35
NARANJITO                        NARANJITO                        NARANJITO                 GUAYAS               0.35
CORONEL MARCELINO MARIDUEÑA      CRNEL. MARCELINO MARIDUEÑA       CRNEL. MARCELINO MARIDUEÑA GUAYAS              0.35
ALFREDO BAQUERIZO MORENO         ALFREDO BAQUERIZO MORENO         ALFREDO BAQUERIZO MORENO  GUAYAS               0.30
CARLOS J. AROSEMENA              GUAYAS (PUEBLO NUEVO)            EMPALME                   GUAYAS               0.40
LA GUAYAQUIL                     BALZAR                           BALZAR                    GUAYAS               0.40
PALESTINA                        PALESTINA                        PALESTINA                 GUAYAS               0.40
PEDRO VELEZ                      EL ROSARIO                       EMPALME                   GUAYAS               0.40
SANTA LUCIA                      EL ROSARIO                       EMPALME                   GUAYAS               0.40
BALZAR                           BALZAR                           BALZAR                    GUAYAS               0.40
SANTA LUCIA                      SANTA LUCIA                      SANTA LUCIA               GUAYAS               0.40
JUNQUILLAL                       JUNQUILLAL                       SALITRE                   GUAYAS               0.40
CERRITOS                         BALZAR                           BALZAR                    GUAYAS               0.40
EL SALITRE                       EL SALITRE (LAS RAMAS)           SALITRE                   GUAYAS               0.40
DAULE                            DAULE                            DAULE                     GUAYAS               0.40
COLIMES                          COLIMES                          COLIMES                   GUAYAS               0.40
CASCAJAL                         VALLE DE LA VIRGEN               PEDRO CARBO               GUAYAS               0.40
ZAMORA NUEVO                     PEDRO CARBO                      PEDRO CARBO               GUAYAS               0.40
EL PIÑAL DE ABAJO                LIMONAL                          DAULE                     GUAYAS               0.40
PEDRO CARBO                      PEDRO CARBO                      PEDRO CARBO               GUAYAS               0.40
LAS CAÑAS                        LOMAS DE SARGENTILLO             LOMAS DE SARGENTILLO      GUAYAS               0.40
PUEBLO NUEVO                     ISIDRO AYORA                     ISIDRO AYORA              GUAYAS               0.40
LAS MERCEDES                     ISIDRO AYORA                     ISIDRO AYORA              GUAYAS               0.40
SABANILLA                        SABANILLA                        PEDRO CARBO               GUAYAS               0.40
ISIDRO AYORA                     ISIDRO AYORA                     ISIDRO AYORA              GUAYAS               0.40
LOMAS DE SARGENTILLO             LOMAS DE SARGENTILLO             LOMAS DE SARGENTILLO      GUAYAS               0.40
BALAO                            BALAO                            BALAO                     GUAYAS               0.40
NARANJAL                         NARANJAL                         NARANJAL                  GUAYAS               0.40
EL TRIUNFO                       EL TRIUNFO                       EL TRIUNFO                GUAYAS               0.40
TAURA                            VIRGEN DE FATIMA                 SAN JACINTO DE YAGUACHI   GUAYAS               0.40
NARCIZA DE JESUS                 NARCISA DE JESUS                 NOBOL                     GUAYAS               0.40
DAULE                            DAULE                            DAULE                     GUAYAS               0.40
LA PUNTILLA                      SAMBORONDON                      SAMBORONDON               GUAYAS               0.40
LAUREL                           JUNQUILLAL                       SALITRE                   GUAYAS               0.40
LAUREL                           LAUREL                           DAULE                     GUAYAS               0.40
PUEBLO NUEVO                     SIMON BOLIVAR                    SIMON BOLIVAR             GUAYAS               0.50
SIMON BOLIVAR                    SIMON BOLIVAR                    SIMON BOLIVAR             GUAYAS               0.50
KILOMETRO VEINTE Y SEIS          VIRGEN DE FATIMA                 SAN JACINTO DE YAGUACHI   GUAYAS               0.35
ELOY ALFARO                      ELOY ALFARO (DURAN)              DURAN                     GUAYAS               0.40
GUAYAQUIL                        GUAYAQUIL                        GUAYAQUIL                 GUAYAS               0.40
CARPUELA                         AMBUQUI                          IBARRA                    IMBABURA             0.40
CHALGUAYACU                      PIMAMPIRO                        PIMAMPIRO                 IMBABURA             0.40
PIMAMPIRO                        PIMAMPIRO                        PIMAMPIRO                 IMBABURA             0.40
MARIANO ACOSTA                   MARIANO ACOSTA                   PIMAMPIRO                 IMBABURA             0.40
EL JUNCAL                        AMBUQUI                          IBARRA                    IMBABURA             0.40
SAN RAFAEL                       SAN RAFAEL                       OTAVALO                   IMBABURA             0.40
AMBUQUI                          AMBUQUI                          IBARRA                    IMBABURA             0.40
SAN ANTONIO DE IBARRA            SAN ANTONIO                      IBARRA                    IMBABURA             0.40
SAN FRANCISCO DE NATABUELA       SAN ANTONIO                      IBARRA                    IMBABURA             0.40
SAN JOSE DE CHALTURA             SAN JOSE DE CHALTURA             ANTONIO ANTE              IMBABURA             0.40
IMANTAG                          IMANTAG                          COTACACHI                 IMBABURA             0.40
COTACACHI                        COTACACHI                        COTACACHI                 IMBABURA             0.40
QUIROGA                          QUIROGA                          COTACACHI                 IMBABURA             0.40
SAN MIGUEL DE IBARRA             IMBAYA (SAN LUIS DE COBUENDO)    ANTONIO ANTE              IMBABURA             0.40
LA CALERA                        COTACACHI                        COTACACHI                 IMBABURA             0.40
SAN ROQUE                        SAN ROQUE                        ANTONIO ANTE              IMBABURA             0.40
SAN JUAN DE ILUMAN               SAN JUAN DE ILUMAN               OTAVALO                   IMBABURA             0.40
SALINAS                          SALINAS                          IBARRA                    IMBABURA             0.40
CAHUASQUI                        CAHUASQUI                        SAN MIGUEL DE URCUQUI     IMBABURA             0.40
PABLO ARENAS                     PABLO ARENAS                     SAN MIGUEL DE URCUQUI     IMBABURA             0.40
TUMBABIRO                        TUMBABIRO                        SAN MIGUEL DE URCUQUI     IMBABURA             0.40
SAN BLAS                         URCUQUI                          SAN MIGUEL DE URCUQUI     IMBABURA             0.40
PRIORATO                         SAN MIGUEL DE IBARRA             IBARRA                    IMBABURA             0.40
SAN MIGUEL DE YAHUARCOCHA        SAN MIGUEL DE IBARRA             IBARRA                    IMBABURA             0.40
CARANQUI                         SAN MIGUEL DE IBARRA             IBARRA                    IMBABURA             0.40
SANTA ROSA                       SAN MIGUEL DE IBARRA             IBARRA                    IMBABURA             0.40
OTAVALO                          DOCTOR MIGUEL EGAS CABEZAS       OTAVALO                   IMBABURA             0.40
CRUZ LOMA                        EUGENIO ESPEJO (CALPAQUI)        OTAVALO                   IMBABURA             0.40
SAN JOSE DE QUICHINCHE           SAN JOSE DE QUICHINCHE           OTAVALO                   IMBABURA             0.40
SAN PABLO DEL LAGO               SAN PABLO                        OTAVALO                   IMBABURA             0.40
GONZALEZ SUAREZ                  GONZALEZ SUAREZ                  OTAVALO                   IMBABURA             0.40
ATUNTAQUI                        SAN JOSE DE CHALTURA             ANTONIO ANTE              IMBABURA             0.40
URCUQUI                          URCUQUI                          SAN MIGUEL DE URCUQUI     IMBABURA             0.40
CHAGUARPAMBA                     CHAGUARPAMBA                     CHAGUARPAMBA              LOJA                 0.30
CATACOCHA                        CATACOCHA                        PALTAS                    LOJA                 0.30
ALAMOR                           ALAMOR                           PUYANGO                   LOJA                 0.40
MACARA                           MACARA                           MACARA                    LOJA                 0.35
CELICA                           CELICA                           CELICA                    LOJA                 0.35
SOZORANGA                        SOZORANGA                        SOZORANGA                 LOJA                 0.35
CATAMAYO                         CATAMAYO (LA TOMA)               CATAMAYO                  LOJA                 0.25
AMALUZA                          AMALUZA                          ESPINDOLA                 LOJA                 0.25
QUILANGA                         QUILANGA                         QUILANGA                  LOJA                 0.25
CARIAMANGA                       CARIAMANGA                       CALVAS                    LOJA                 0.25
LOJA                             LOJA                             LOJA                      LOJA                 0.25
SAN JACINTO DE BUENA FE          SAN JACINTO DE BUENA FE          BUENA FE                  LOS RIOS             0.35
JAUNECHE                         PALENQUE                         PALENQUE                  LOS RIOS             0.35
ANTONIO SOTOMAYOR                ANTONIO SOTOMAYOR                VINCES                    LOS RIOS             0.35
BABA                             BABA                             BABA                      LOS RIOS             0.35
QUEVEDO                          QUEVEDO                          QUEVEDO                   LOS RIOS             0.35
VINCES                           VINCES                           VINCES                    LOS RIOS             0.35
PALENQUE                         PALENQUE                         PALENQUE                  LOS RIOS             0.35
LA UNION                         LA UNION                         BABAHOYO                  LOS RIOS             0.30
COSTA AZUL                       VALENCIA                         VALENCIA                  LOS RIOS             0.30
VALENCIA                         VALENCIA                         VALENCIA                  LOS RIOS             0.30
MONTALVO                         MONTALVO                         MONTALVO                  LOS RIOS             0.30
QUINSALOMA                       QUINSALOMA                       QUINSALOMA                LOS RIOS             0.30
SAN JUAN                         SAN JUAN                         PUEBLOVIEJO               LOS RIOS             0.30
SAN CARLOS                       SAN CARLOS                       QUEVEDO                   LOS RIOS             0.30
MOCACHE                          MOCACHE                          MOCACHE                   LOS RIOS             0.30
PUEBLOVIEJO                      PUEBLOVIEJO                      PUEBLOVIEJO               LOS RIOS             0.30
CATARAMA                         CATARAMA                         URDANETA                  LOS RIOS             0.30
BABAHOYO                         BABAHOYO                         BABAHOYO                  LOS RIOS             0.30
VENTANAS                         VENTANAS                         VENTANAS                  LOS RIOS             0.30
PATRICIA PILAR                   PATRICIA PILAR                   BUENA FE                  LOS RIOS             0.40
COLON                            PORTOVIEJO                       PORTOVIEJO                MANABI               0.50
JULCUY                           JULCUY                           JIPIJAPA                  MANABI               0.50
CHARAPOTO                        CHARAPOTO                        SUCRE                     MANABI               0.50
FLAVIO ALFARO                    FLAVIO ALFARO                    FLAVIO ALFARO             MANABI               0.50
SAN PEDRO DE SUMA                SAN PEDRO DE SUMA                EL CARMEN                 MANABI               0.50
ROCAFUERTE                       ROCAFUERTE                       ROCAFUERTE                MANABI               0.50
RIOCHICO                         RIOCHICO (RIO CHICO)             PORTOVIEJO                MANABI               0.50
SAN ISIDRO                       SAN ISIDRO                       BAHIA DE CARAQUEZ         MANABI               0.50
ELOY ALFARO                      ELOY ALFARO                      CHONE                     MANABI               0.50
SAN JACINTO                      CHARAPOTO                        SUCRE                     MANABI               0.50
SAN VICENTE                      SAN VICENTE                      SAN VICENTE               MANABI               0.50
LEONIDAS PLAZA                   BAHIA DE CARAQUEZ                SUCRE                     MANABI               0.50
CALCETA                          CALCETA                          BOLIVAR                   MANABI               0.50
JARAMIJO                         JARAMIJO                         JARAMIJO                  MANABI               0.50
SANTA ANA DE VUELTA LARGA        SANTA ANA DE VUELTA LARGA        SANTA ANA                 MANABI               0.50
CHONE                            CHONE                            CHONE                     MANABI               0.50
EL AROMO                         MANTA                            MANTA                     MANABI               0.50
PILES                            MONTECRISTI                      MONTECRISTI               MANABI               0.50
SAN LORENZO                      SAN LORENZO                      MANTA                     MANABI               0.50
PACOCHE ABAJO                    SANTA MARIANITA                  MANTA                     MANABI               0.50
EL LIMON                         PORTOVIEJO                       PORTOVIEJO                MANABI               0.50
CALDERON                         ABDON CALDERON (SAN FRANCISCO)   PORTOVIEJO                MANABI               0.50
PORTOVIEJO                       PORTOVIEJO                       PORTOVIEJO                MANABI               0.50
SAN PLACIDO                      SAN PLACIDO                      PORTOVIEJO                MANABI               0.50
SUCRE                            SUCRE                            24 DE MAYO                MANABI               0.50
SANCAN                           JIPIJAPA                         JIPIJAPA                  MANABI               0.50
MEMBRILLAL                       MEMBRILLAL                       JIPIJAPA                  MANABI               0.50
RIO DE CAÑA                      MONTECRISTI                      MONTECRISTI               MANABI               0.50
JIPIJAPA                         JIPIJAPA                         JIPIJAPA                  MANABI               0.50
EL ANEGADO                       EL ANEGADO (CAB EN ELOY ALFARO)  JIPIJAPA                  MANABI               0.50
EL ESFUERZO                      BELLAVISTA                       24 DE MAYO                MANABI               0.50
NOBOA                            NOBOA                            24 DE MAYO                MANABI               0.50
BELLAVISTA                       OLMEDO                           OLMEDO                    MANABI               0.50
PAJAN                            PAJAN                            PAJAN                     MANABI               0.50
CASCOL                           CASCOL                           PAJAN                     MANABI               0.50
PEDRO PABLO GOMEZ                PEDRO PABLO GOMEZ                JIPIJAPA                  MANABI               0.50
SALANGO                          SALANGO                          PUERTO LOPEZ              MANABI               0.50
RIO CHICO                        SALANGO                          PUERTO LOPEZ              MANABI               0.50
PUERTO LOPEZ                     PUERTO LOPEZ                     PUERTO LOPEZ              MANABI               0.50
AYAMPE                           SALANGO                          PUERTO LOPEZ              MANABI               0.50
MONTECRISTI                      MONTECRISTI                      MONTECRISTI               MANABI               0.50
AGUA PATO                        EL ANEGADO (CAB EN ELOY ALFARO)  JIPIJAPA                  MANABI               0.50
COJIMIES                         COJIMIES                         PEDERNALES                MANABI               0.50
PEDERNALES                       PEDERNALES                       PEDERNALES                MANABI               0.50
QUIROGA                          QUIROGA                          BOLIVAR                   MANABI               0.50
JUNIN                            JUNIN                            JUNIN                     MANABI               0.50
CANUTO                           CANUTO                           CHONE                     MANABI               0.50
TOSAGUA                          TOSAGUA                          TOSAGUA                   MANABI               0.50
EL PUEBLITO                      CHARAPOTO                        SUCRE                     MANABI               0.50
JAMA                             JAMA                             JAMA                      MANABI               0.50
MANTA                            MONTECRISTI                      MONTECRISTI               MANABI               0.50
SAN CLEMENTE                     CHARAPOTO                        SUCRE                     MANABI               0.50
SAN PABLO                        SAN PABLO (PUEBLO NUEVO)         SANTA ANA                 MANABI               0.40
EL CARMEN                        EL CARMEN                        EL CARMEN                 MANABI               0.40
LA BRAMADORA                     EL CARMEN                        EL CARMEN                 MANABI               0.40
BARRAGANETE                      BARRAGANETE                      PICHINCHA                 MANABI               0.40
MEMBRILLO                        MEMBRILLO                        BOLIVAR                   MANABI               0.40
OLMEDO                           OLMEDO                           OLMEDO                    MANABI               0.40
PICHINCHA                        PICHINCHA                        PICHINCHA                 MANABI               0.40
LA UNION                         LA UNION                         SANTA ANA                 MANABI               0.40
LASCANO                          LASCANO                          PAJAN                     MANABI               0.40
GUALE                            GUALE                            PAJAN                     MANABI               0.40
BAHIA DE CARAQUEZ                BAHIA DE CARAQUEZ                SUCRE                     MANABI               0.50
MACHALILLA                       MACHALILLA                       PUERTO LOPEZ              MANABI               0.50
PUERTO DE CAYO                   PUERTO DE CAYO                   JIPIJAPA                  MANABI               0.50
PUERTO RICO                      SALANGO                          PUERTO LOPEZ              MANABI               0.50
PALORA                           PALORA (METZERA)                 PALORA                    MORONA SANTIAGO      0.30
PABLO SEXTO                      PABLO SEXTO                      PABLO SEXTO               MORONA SANTIAGO      0.30
